,0,Mfccs0,Mfccs1,Mfccs10,Mfccs11,Mfccs12,Mfccs13,Mfccs14,Mfccs15,Mfccs16,Mfccs17,Mfccs18,Mfccs19,Mfccs2,Mfccs3,Mfccs4,Mfccs5,Mfccs6,Mfccs7,Mfccs8,Mfccs9,Name,chroma,isTrigger,spectralBandwidth,spectralCentroid,spectralRolloff,spectralRolloffMin,spectralZeroCrossing
5,37.109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.20589999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-250.2877655029297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,72.51362609863281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-26.014419555664062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,32.28586959838867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-42.17279052734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,26.6762752532959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-37.076148986816406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,17.55185317993164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-35.378028869628906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15.186347961425781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-20.008056640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,13.600733757019043,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-13.78142261505127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.7201645374298096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-6.0632829666137695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-1.3463563919067383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-4.578543663024902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-7.114559173583984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4.256843090057373,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-1.1898417472839355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.5123557448387146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,914.5809420552436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,615.3902992812233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2120.849609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,27.83203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.23451999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-194.6154022216797,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,65.65826416015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-38.96087646484375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,42.398868560791016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-49.34589767456055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,34.271793365478516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-43.59762954711914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,23.613082885742188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-37.081764221191406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,23.52608871459961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-21.948612213134766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16.284557342529297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-15.781877517700195,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9.82463264465332,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-6.682191371917725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3.058990240097046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-4.558596134185791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.3707619607448578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3.492870330810547,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.30869001150131226,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6487329006195068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,991.0567196887445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,666.1475086749075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2345.458984375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34.66796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.25148000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-202.3889617919922,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,30.69095802307129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-4.401358604431152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4.7596588134765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-17.15212631225586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-4.519557476043701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-16.44936752319336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0761229991912842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-8.515985488891602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6.256728172302246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-4.159947395324707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,5.318514823913574,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-8.752355575561523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,8.181390762329102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-9.861659049987793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.1126281023025513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-5.1528825759887695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4.142150402069092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-8.695530891418457,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3.031313180923462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.4830739200115204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,765.0583093771535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,588.2777276241434,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2135.25390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,35.64453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.16756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-274.95654296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,73.51383972167969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,-11.729084014892578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,24.171905517578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-32.83477020263672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18.62759017944336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-29.07863426208496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10.759183883666992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-28.232778549194336,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11.715555191040039,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-14.925300598144531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9.540704727172852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-11.3567476272583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3.2265210151672363,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-4.918841361999512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-2.3747918605804443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-6.489309787750244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,-4.349425315856934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,-3.2227249145507812,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,-2.2234890460968018,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.49362167716026306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1014.9417570019832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,684.5004266591682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2453.369140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,46.142578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.26002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,-193.25119018554688,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,25.291688919067383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3.2020230293273926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-2.944601535797119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,-9.713086128234863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,-5.5990495681762695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,-2.973766326904297,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-8.626690864562988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-8.572479248046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,-4.661019325256348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-1.3515777587890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,-2.4089887142181396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,-4.650574207305908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-1.2866759300231934,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,-3.905745267868042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,-4.090681552886963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,-0.6160927414894104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.5599250793457031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
